Epoch 1, Sample 1: Prediction = [0.4163056101455895, 0.4159569775190413, 0.5451266224864296], Target = [1.0, 0.0, 0.0]
Epoch 1, Sample 2: Prediction = [0.43457917915861505, 0.4019862428438884, 0.5292308562573855], Target = [1.0, 0.0, 0.0]
Epoch 1, Sample 3: Prediction = [0.44945607893251716, 0.39081434635115914, 0.513324838050352], Target = [1.0, 0.0, 0.0]
Epoch 1, Sample 4: Prediction = [0.46330924993011907, 0.37863730678796903, 0.4952441403032899], Target = [1.0, 0.0, 0.0]
Epoch 1, Sample 5: Prediction = [0.4765817981193044, 0.37194456110914, 0.4866739411773843], Target = [1.0, 0.0, 0.0]
Epoch 1, Sample 6: Prediction = [0.489443338459388, 0.3615768113943527, 0.4717205241236208], Target = [1.0, 0.0, 0.0]
Epoch 1, Sample 7: Prediction = [0.5061907543685642, 0.34991224868352416, 0.45648444914324127], Target = [1.0, 0.0, 0.0]
Epoch 1, Sample 8: Prediction = [0.5193624675154287, 0.3428070437964351, 0.4472225770524758], Target = [1.0, 0.0, 0.0]
Epoch 1, Sample 9: Prediction = [0.5343225221620775, 0.3318262860785452, 0.43162376635015376], Target = [1.0, 0.0, 0.0]
Epoch 1, Sample 10: Prediction = [0.5462601546864838, 0.32586003949899606, 0.42353773445628834], Target = [1.0, 0.0, 0.0]
Epoch 1, Sample 11: Prediction = [0.5576057569193992, 0.32007582755753644, 0.4159713781083713], Target = [1.0, 0.0, 0.0]
Epoch 1, Sample 12: Prediction = [0.5686751625734701, 0.30947602307964306, 0.39812735983057845], Target = [1.0, 0.0, 0.0]
Epoch 1, Sample 13: Prediction = [0.5832635136752943, 0.30339235301541145, 0.39222666648819976], Target = [1.0, 0.0, 0.0]
Epoch 1, Sample 14: Prediction = [0.5930592479142393, 0.2979186601022571, 0.3835870599105561], Target = [1.0, 0.0, 0.0]
Epoch 1, Sample 15: Prediction = [0.6052250310926958, 0.2945201893635325, 0.3832469053445833], Target = [1.0, 0.0, 0.0]
Epoch 1, Sample 16: Prediction = [0.6114637650972933, 0.2858606184993917, 0.36716196988188676], Target = [1.0, 0.0, 0.0]
Epoch 1, Sample 17: Prediction = [0.6245477670430004, 0.2790621362717919, 0.36004853425800226], Target = [1.0, 0.0, 0.0]
Epoch 1, Sample 18: Prediction = [0.6340146325314435, 0.271747468134614, 0.34775194176795243], Target = [1.0, 0.0, 0.0]
Epoch 1, Sample 19: Prediction = [0.6433869206166878, 0.26521655002668376, 0.33813708408522175], Target = [1.0, 0.0, 0.0]
Epoch 1, Sample 20: Prediction = [0.6496805844617205, 0.26037818419435504, 0.3294535866472815], Target = [1.0, 0.0, 0.0]
Epoch 1, Sample 21: Prediction = [0.661990779668544, 0.25324702881009037, 0.32020543870922114], Target = [1.0, 0.0, 0.0]
Epoch 1, Sample 22: Prediction = [0.6675738389046653, 0.24916616279194398, 0.31455190348783263], Target = [1.0, 0.0, 0.0]
Epoch 1, Sample 23: Prediction = [0.6734006279160341, 0.24892264265470868, 0.3139917434435251], Target = [1.0, 0.0, 0.0]
Epoch 1, Sample 24: Prediction = [0.6854663653138309, 0.2366503911124441, 0.29698184131298805], Target = [1.0, 0.0, 0.0]
Epoch 1, Sample 25: Prediction = [0.6888031772046048, 0.23215302796203746, 0.2850222851678749], Target = [1.0, 0.0, 0.0]
Epoch 1, Sample 26: Prediction = [0.7003201197273364, 0.22945655887001995, 0.2856353404122455], Target = [1.0, 0.0, 0.0]
Epoch 1, Sample 27: Prediction = [0.7049562986433868, 0.22514076282504594, 0.2797232500680751], Target = [1.0, 0.0, 0.0]
Epoch 1, Sample 28: Prediction = [0.7117881041414095, 0.2228318559345657, 0.27661025532589156], Target = [1.0, 0.0, 0.0]
Epoch 1, Sample 29: Prediction = [0.7187537820337853, 0.21945854782419094, 0.272672518928319], Target = [1.0, 0.0, 0.0]
Epoch 1, Sample 30: Prediction = [0.7220047981979295, 0.21408950378866817, 0.2613123721981131], Target = [1.0, 0.0, 0.0]
Epoch 1, Sample 31: Prediction = [0.7291146332796608, 0.21022820754668073, 0.25663460921514153], Target = [1.0, 0.0, 0.0]
Epoch 1, Sample 32: Prediction = [0.7378274365539804, 0.20653340266307685, 0.2558279282307382], Target = [1.0, 0.0, 0.0]
Epoch 1, Sample 33: Prediction = [0.7365907885380144, 0.20574419352038606, 0.25015383230379884], Target = [1.0, 0.0, 0.0]
Epoch 1, Sample 34: Prediction = [0.7438472801569336, 0.2024301054970414, 0.24817003656476705], Target = [1.0, 0.0, 0.0]
Epoch 1, Sample 35: Prediction = [0.7506143033495895, 0.19774066630498613, 0.23941560751846916], Target = [1.0, 0.0, 0.0]
Epoch 1, Sample 36: Prediction = [0.755515479880504, 0.19693565365573198, 0.24094664400513296], Target = [1.0, 0.0, 0.0]
Epoch 1, Sample 37: Prediction = [0.7623897524555914, 0.19243747323229304, 0.23581993276955743], Target = [1.0, 0.0, 0.0]
Epoch 1, Sample 38: Prediction = [0.7640670402194621, 0.1887695201540902, 0.2265470474713666], Target = [1.0, 0.0, 0.0]
Epoch 1, Sample 39: Prediction = [0.7642420139719422, 0.18866238937065757, 0.22562504527088972], Target = [1.0, 0.0, 0.0]
Epoch 1, Sample 40: Prediction = [0.7725205872058116, 0.18289705425730607, 0.21943421585277434], Target = [1.0, 0.0, 0.0]
Epoch 1, Sample 41: Prediction = [0.7750124829452281, 0.1820076582336867, 0.2192362400493366], Target = [1.0, 0.0, 0.0]
Epoch 1, Sample 42: Prediction = [0.7794893667159433, 0.18052840804442294, 0.215711132760145], Target = [1.0, 0.0, 0.0]
Epoch 1, Sample 43: Prediction = [0.7782997494264677, 0.17882878809035496, 0.21157301664376268], Target = [1.0, 0.0, 0.0]
Epoch 1, Sample 44: Prediction = [0.7863842985723408, 0.17131394374077083, 0.2042641623595733], Target = [1.0, 0.0, 0.0]
Epoch 1, Sample 45: Prediction = [0.7891433553964264, 0.16739844315827512, 0.19629118186172717], Target = [1.0, 0.0, 0.0]
Epoch 1, Sample 46: Prediction = [0.7931197667882668, 0.16975744858513978, 0.20119809161849236], Target = [1.0, 0.0, 0.0]
Epoch 1, Sample 47: Prediction = [0.7952960472279733, 0.16598862444940135, 0.1949532716838571], Target = [1.0, 0.0, 0.0]
Epoch 1, Sample 48: Prediction = [0.7965813746521975, 0.16654563727431249, 0.1951885087307225], Target = [1.0, 0.0, 0.0]
Epoch 1, Sample 49: Prediction = [0.8034811014474987, 0.16199082618457808, 0.19096900237480757], Target = [1.0, 0.0, 0.0]
Epoch 1, Sample 50: Prediction = [0.805477627197652, 0.16139615325356718, 0.18977080711352784], Target = [1.0, 0.0, 0.0]
Epoch 1, Sample 51: Prediction = [0.8064690802231698, 0.14560345680921172, 0.155433722894789], Target = [0.0, 1.0, 0.0]
Epoch 1, Sample 52: Prediction = [0.7896771188652904, 0.1554326919663097, 0.15464007994850856], Target = [0.0, 1.0, 0.0]
Epoch 1, Sample 53: Prediction = [0.7783762049091384, 0.16318931464291137, 0.15146728358276795], Target = [0.0, 1.0, 0.0]
Epoch 1, Sample 54: Prediction = [0.7610384064702791, 0.1777132323138524, 0.1556208324523176], Target = [0.0, 1.0, 0.0]
Epoch 1, Sample 55: Prediction = [0.7481140916637496, 0.18481910216037123, 0.1504869653411501], Target = [0.0, 1.0, 0.0]
Epoch 1, Sample 56: Prediction = [0.7261818245391142, 0.1984597721882743, 0.1493431267931388], Target = [0.0, 1.0, 0.0]
Epoch 1, Sample 57: Prediction = [0.7092694401603802, 0.20878180993167175, 0.1470786185954522], Target = [0.0, 1.0, 0.0]
Epoch 1, Sample 58: Prediction = [0.694658650938081, 0.22829181046565133, 0.15686515107859983], Target = [0.0, 1.0, 0.0]
Epoch 1, Sample 59: Prediction = [0.6791652495493227, 0.23620416645515466, 0.1461340533907762], Target = [0.0, 1.0, 0.0]
Epoch 1, Sample 60: Prediction = [0.6571416014069084, 0.2513478742391903, 0.14953344425271675], Target = [0.0, 1.0, 0.0]
Epoch 1, Sample 61: Prediction = [0.644515331822799, 0.2687627714023695, 0.15248284407511542], Target = [0.0, 1.0, 0.0]
Epoch 1, Sample 62: Prediction = [0.6219966483231749, 0.27971897950221225, 0.1456474407145686], Target = [0.0, 1.0, 0.0]
Epoch 1, Sample 63: Prediction = [0.6101922670463542, 0.29937707000726177, 0.14678805557262734], Target = [0.0, 1.0, 0.0]
Epoch 1, Sample 64: Prediction = [0.5841723030290312, 0.3119472219879658, 0.14075887913669802], Target = [0.0, 1.0, 0.0]
Epoch 1, Sample 65: Prediction = [0.5705561744605372, 0.331080960433178, 0.14831192396959098], Target = [0.0, 1.0, 0.0]
Epoch 1, Sample 66: Prediction = [0.5516804390538393, 0.34890915460970345, 0.141908650903177], Target = [0.0, 1.0, 0.0]
Epoch 1, Sample 67: Prediction = [0.5308284655434093, 0.36144655297200384, 0.1396012854859002], Target = [0.0, 1.0, 0.0]
Epoch 1, Sample 68: Prediction = [0.5185074814700426, 0.3850618440327587, 0.14217266868804318], Target = [0.0, 1.0, 0.0]
Epoch 1, Sample 69: Prediction = [0.5041322966494122, 0.40055411916084255, 0.13877732056426434], Target = [0.0, 1.0, 0.0]
Epoch 1, Sample 70: Prediction = [0.488420408373553, 0.41984423265151694, 0.14218493571045987], Target = [0.0, 1.0, 0.0]
Epoch 1, Sample 71: Prediction = [0.4672536170430759, 0.4298799266924133, 0.13503329537244171], Target = [0.0, 1.0, 0.0]
Epoch 1, Sample 72: Prediction = [0.4589284573627319, 0.45559382327235304, 0.14042519351800503], Target = [0.0, 1.0, 0.0]
Epoch 1, Sample 73: Prediction = [0.4420713066455306, 0.47159993501383973, 0.13348010602060845], Target = [0.0, 1.0, 0.0]
Epoch 1, Sample 74: Prediction = [0.4281386559217718, 0.49017980471223893, 0.13404858763630853], Target = [0.0, 1.0, 0.0]
Epoch 1, Sample 75: Prediction = [0.4176385364009797, 0.5086819457967162, 0.1363669939098089], Target = [0.0, 1.0, 0.0]
Epoch 1, Sample 76: Prediction = [0.4049801975739344, 0.5252617724753724, 0.13513266048020678], Target = [0.0, 1.0, 0.0]
Epoch 1, Sample 77: Prediction = [0.39223426690743607, 0.5427431981074653, 0.13187202062857498], Target = [0.0, 1.0, 0.0]
Epoch 1, Sample 78: Prediction = [0.38002733566722185, 0.5539498961127949, 0.12983774957657507], Target = [0.0, 1.0, 0.0]
Epoch 1, Sample 79: Prediction = [0.3714055193475721, 0.5655916112022366, 0.1316268131233677], Target = [0.0, 1.0, 0.0]
Epoch 1, Sample 80: Prediction = [0.3668857217776648, 0.5821870231940565, 0.13822529372360068], Target = [0.0, 1.0, 0.0]
Epoch 1, Sample 81: Prediction = [0.3560726419358336, 0.5930274387140994, 0.13454962440159585], Target = [0.0, 1.0, 0.0]
Epoch 1, Sample 82: Prediction = [0.34723877351685906, 0.6061702673858809, 0.13445651945447154], Target = [0.0, 1.0, 0.0]
Epoch 1, Sample 83: Prediction = [0.3369010610904897, 0.6182051452357286, 0.1322874743051805], Target = [0.0, 1.0, 0.0]
Epoch 1, Sample 84: Prediction = [0.32365946264214435, 0.6281118056044176, 0.12392986339090759], Target = [0.0, 1.0, 0.0]
